symbol,tge_date,year
EUR,2020-01-04,2020
OGN,2020-01-10,2020
WRX,2020-02-06,2020
BNT,2020-02-07,2020
LSK,2020-02-07,2020
LTO,2020-02-08,2020
MBL,2020-02-22,2020
COTI,2020-02-27,2020
STPT,2020-03-26,2020
DATA,2020-04-08,2020
CTSI,2020-04-24,2020
HIVE,2020-04-28,2020
CHR,2020-05-08,2020
ARDR,2020-05-16,2020
MDT,2020-06-06,2020
STMX,2020-06-12,2020
LRC,2020-06-13,2020
KNC,2020-06-13,2020
COMP,2020-06-26,2020
SC,2020-07-07,2020
ZEN,2020-07-07,2020
SNX,2020-07-10,2020
VTHO,2020-07-18,2020
DGB,2020-07-21,2020
SXP,2020-07-21,2020
MKR,2020-07-24,2020
STORJ,2020-07-31,2020
DCR,2020-07-31,2020
MANA,2020-08-07,2020
YFI,2020-08-11,2020
SOL,2020-08-12,2020
BLZ,2020-08-12,2020
BAL,2020-08-12,2020
IRIS,2020-08-12,2020
JST,2020-08-12,2020
KMD,2020-08-12,2020
SAND,2020-08-15,2020
CRV,2020-08-16,2020
DOT,2020-08-19,2020
NMR,2020-08-20,2020
LUNA,2020-08-22,2020
RSR,2020-08-28,2020
PAXG,2020-08-29,2020
TRB,2020-08-30,2020
SUSHI,2020-09-02,2020
EGLD,2020-09-04,2020
KSM,2020-09-05,2020
RUNE,2020-09-05,2020
FIO,2020-09-05,2020
DIA,2020-09-05,2020
UMA,2020-09-10,2020
BEL,2020-09-16,2020
WING,2020-09-17,2020
UNI,2020-09-18,2020
OXT,2020-09-22,2020
SUN,2020-09-22,2020
AVAX,2020-09-23,2020
FLM,2020-09-29,2020
ORN,2020-10-01,2020
UTK,2020-10-03,2020
XVS,2020-10-07,2020
ALPHA,2020-10-11,2020
NEAR,2020-10-15,2020
AAVE,2020-10-16,2020
FIL,2020-10-16,2020
INJ,2020-10-22,2020
AUDIO,2020-10-24,2020
CTK,2020-10-28,2020
AKRO,2020-11-03,2020
AXS,2020-11-05,2020
HARD,2020-11-07,2020
STRAX,2020-11-19,2020
UNFI,2020-11-20,2020
ROSE,2020-11-20,2020
AVA,2020-11-25,2020
SKL,2020-12-02,2020
GRT,2020-12-18,2020
PSG,2020-12-22,2020
JUV,2020-12-22,2020
1INCH,2020-12-26,2020
REEF,2020-12-30,2020
OG,2020-12-31,2020
ATM,2020-12-31,2020
ASR,2020-12-31,2020
CELO,2021-01-06,2021
RIF,2021-01-08,2021
TRU,2021-01-20,2021
CKB,2021-01-27,2021
TWT,2021-01-28,2021
FIRO,2021-01-30,2021
LIT,2021-02-05,2021
SFP,2021-02-09,2021
CAKE,2021-02-20,2021
DODO,2021-02-20,2021
ACM,2021-02-25,2021
BADGER,2021-03-03,2021
FIS,2021-03-04,2021
OM,2021-03-09,2021
POND,2021-03-10,2021
DEGO,2021-03-11,2021
ALICE,2021-03-16,2021
LINA,2021-03-19,2021
PERP,2021-03-20,2021
SUPER,2021-03-26,2021
CFX,2021-03-30,2021
TKO,2021-04-08,2021
PUNDIX,2021-04-10,2021
TLM,2021-04-14,2021
BAR,2021-04-22,2021
FORTH,2021-04-24,2021
BAKE,2021-05-01,2021
BURGER,2021-05-01,2021
SLP,2021-05-01,2021
SHIB,2021-05-11,2021
ICP,2021-05-12,2021
AR,2021-05-15,2021
POLS,2021-05-20,2021
MDX,2021-05-25,2021
MASK,2021-05-26,2021
LPT,2021-05-29,2021
XVG,2021-06-07,2021
ATA,2021-06-08,2021
GTC,2021-06-11,2021
ERN,2021-06-23,2021
KLAY,2021-06-25,2021
PHA,2021-06-26,2021
