industry,symbols
web3,"DATA,JET,HNS,NOIA,BDX,ZEN,RLC,BTR,SUTER,ONT,FUND,ANT,MIN,TRB,MAN,BDP,LIT,FLUX,XYO,NKN,DIA,KIN,GEN,FRM,TRAC,DNT,CKB,HIVE,LPT,FET,STORJ,AIX,STX,CHR,BAND,ELA,KAVA,STEEM,LRC,BEPRO,AIT,SC,GLM,OXT,CVC,THETA,OCEAN,BAT,GTC,PRQ,EGLD,AR,DOT,PHA,CRU,KDA,FIL,AUDIO,INJ,NU,AKT,RNDR,API3,GRT,POND"
data-availability,"NOIA,PHA"
lending-borowing,"KAVA,FOR,SEND,CEL,CREAM,COMP,RCN,TRADE,AAVE,XVS,FIN,EZ,UFT,HARD,RAMP,TRU,SMARTCREDIT"
synthetics,"MIR,YAM,JRT,UMA,BTS"
metaverse,"WAXP,SOUL,UOS,RIO,VIBE,MAN,XYO,ADS,CEEK,ENJ,MANA,RING,JADE,D,POLIS,CHI,SAND,STX,CHR,SURE,LYXe,CSPN,ZIL,VRA,NWC,PLA,GAME,MONA,DEP,DBC,SUSHI,EGLD,PHA,ONT,GHST,SENSO,AXS,RNDR,JGN,UFO,DRC"
reputation,"MTH,DNT,REP"
content-creation,"RFR,MFT,ZPT,PST,HIVE,VEE,IQ,STREAM,SOUL,GFT,ZEN,RLC,SNT,MBL,KIN,COS,TFUEL,BAT,RDD,THETA,GEM,IFT,XMX,SAND,STEEM,CHZ,KAN,LBC,MARO,CVNT,UUU,MITH,LUN,CYCLUB"
research,"FTM,COFI,CURE,ALGO,DNA,CKB,PHX,EMC2,RLC,NMR,ERG,NRG,ORAI"
blake2b,"SCP,XNO"
state-channel,"RDN,ELA,VEO,HC,ARDR,NXT,IGNIS,ARK,CELR"
asset-management,"COFI,NIOX,ZSC,SAN,MYB,TBX,DEP,WINGS,TCT,VALOR,WXT,GRG,XPA,COV,NEX,PLBT,NEU,HMQ,AMM,ETP,UQC,ORMEUS,DMG,SHARD,DGTX,MLN,SMARTCREDIT,IDLE"
education,"EKO,CURE"
ai-big-data,"DATA,TFUEL,CLBK,TRAC,VOLT,DOCK,PIN,GOC,CYL,FET,NTK,OCE,IDNA,CTXC,DX,AIX,MBN,PIB,CHR,TYPE,SURE,GNY,TRV,AAA,UBEX,EFX,BEPRO,LBC,VRA,AIT,DLT,CPC,SEELE,MTC,IQ,ZCN,SOUL,BDX,EMC,RLC,BTO,UNO,ABT,NMR,DKA,MAN,BDP,FLUX,DIA,KEY,AION,DNA,HAI,LIKE,DBC,ROOBEE,MDT,GLM,ALEPH,ZSC,OCEAN,XRT,RAVEN,UPP,HAVY,SAN,DDD,ZEBI,LPT,LAMB,KAT,AGIX,BIRD,PRE,CND,PRQ,AGRS,CNTM,AXIS,BAT,PHA,YF-DAI,BRG,KDA,NEAR,OCTO,FIL,NCDT,INJ,AKT,AITRA,RNDR,ROSE,UPI,ORAI,GRT,POND"
medium-of-exchange,"BCH,VOLT,SHND,CLAM,OMG,BTCZ,ETN,WIX,BEET,MTL,DGB,XWP,ONION,XRC,AE,DOGE,BTG,BEAM,XBC,ZEN,DASH,REQ,ZANO,UNO,TEL,PLC,BCD,NPXS,MIOTA,GRIN,ERC20,INO,APL,XLM,FYD,BCN,BTC2,GRS,MONA,VTC,PIVX,FIRO,XNO,LCC,ZEC,XDN,VEX,LTC,XEM,XLAB,WBTC,XMR,DCR,PPC,EOS,GAS,ILC,FTC,ARRR,SXP,BSV,TLOS,PAY,NAV,SAFE,CRO,XVG,OTO,CRP"
distributed-computing,"NTK,STORJ,MAID,ELA,DVPN,UGAS,CURE,BEPRO,UFR,QRL,SKY,SC,PRIX,GLM,OXT,EDGE,MYST,DAPP,TRAC,HNS,DATA,ANKR,TFUEL,NKN,ALEPH,IOTX,FLUX,OCEAN,REV,MXC,SRN,LPT,LAMB,DBC,HOT,SHDW,ZCN,SCP,SOUL,EMC,ETHO,BLZ,RLC,SUB,XPX,BTO,GNX,INXT,XYO,EGLD,AR,PHA,CRU,FIL,NCDT,RNDR,AKT,POND"
x13,"OPAL,CJ,MOTA"
communications-social-media,"ADM,CHAT,SUB,BOX"
cryptonight,"CTL,KRB,XWP"
memes,"YAM,SC,TCAT,BAN,MONA,GRLC,KAI,EGG,ACT,MEME,EMC2,DOGEC,DOGE,UNI,FTX,MINTME,MAX,MVP,ERC20,VOLT,TROLL,GB,NUT,OCTO,ALPHA"
vr-ar,"CAPP,VIBE,CEEK,RUNE,TFUEL,ENJ,SENSO,RNDR"
