year,industry,mv/max_mv_median
2020.0,finance-banking,0.5164038309502894
2020.0,web3,0.0058301952150062505
2020.0,retail,0.03152287342310343
2020.0,music,0.011022199244220932
2020.0,logistics,0.0027157039971099487
2020.0,real-estate,0.07750553909389932
2020.0,defi,0.001354564323681237
2020.0,analytics,0.009257549581425422
2020.0,media,0.0052874625668596345
2020.0,software,0.5707032023412288
2020.0,metaverse,0.001957990145499362
2020.0,hardware,0.07032190005743072
2020.0,tourism,0.008450680466797072
2020.0,sports,0.0033797570680220617
2020.0,insurance,0.011410247611473507
2020.0,sharing-economy,0.032501645767942254
2020.0,art,0.009566592898979608
2020.0,marketing,0.0679909884596324
2020.0,entertainment,0.003361005675761067
2020.0,ai,0.00289373171708827
2020.0,derivatives,0.004158893273508667
2020.0,services,0.029889801358129943
2020.0,health,0.020469549427988936
2020.0,vr-ar,0.003066665123998332
2020.0,video,0.02591536662531818
2020.0,gaming,0.0014068088486149577
2020.0,transport,0.5023196205978863
2020.0,education,0.10993349253962909
2020.0,gaming-guild,0.13876648622416848
2020.0,lending-borowing,0.004797478727423776
2020.0,energy,0.07607272777819175
2020.0,gambling,0.00886491766411815
2020.0,iot,0.010238175800855755
2020.0,food-beverage,0.6190466784299925
2020.0,hospitality,0.5661934595237348
2020.0,content-creation,0.02106150718562627
2020.0,e-commerce,0.03416546982989619
2020.0,communications-social-media,0.04689425059993922
2021.0,finance-banking,0.5164038309502894
2021.0,web3,0.0058301952150062505
2021.0,retail,0.03152287342310343
2021.0,music,0.011022199244220932
2021.0,logistics,0.0027157039971099487
2021.0,real-estate,0.07750553909389932
2021.0,defi,0.001354564323681237
2021.0,analytics,0.009257549581425422
2021.0,media,0.0052874625668596345
2021.0,software,0.5707032023412288
2021.0,metaverse,0.001957990145499362
2021.0,hardware,0.07032190005743072
2021.0,tourism,0.008450680466797072
2021.0,sports,0.0033797570680220617
2021.0,insurance,0.011410247611473507
2021.0,sharing-economy,0.032501645767942254
2021.0,art,0.009566592898979608
2021.0,marketing,0.0679909884596324
2021.0,entertainment,0.003361005675761067
2021.0,ai,0.00289373171708827
2021.0,derivatives,0.004158893273508667
2021.0,services,0.029889801358129943
2021.0,health,0.020469549427988936
2021.0,vr-ar,0.003066665123998332
2021.0,video,0.02591536662531818
2021.0,gaming,0.0014068088486149577
2021.0,transport,0.5023196205978863
2021.0,education,0.10993349253962909
2021.0,gaming-guild,0.13876648622416848
2021.0,lending-borowing,0.004797478727423776
2021.0,energy,0.07607272777819175
2021.0,gambling,0.00886491766411815
2021.0,iot,0.010238175800855755
2021.0,food-beverage,0.6190466784299925
2021.0,hospitality,0.5661934595237348
2021.0,content-creation,0.02106150718562627
2021.0,e-commerce,0.03416546982989619
2021.0,communications-social-media,0.04689425059993922
2022.0,finance-banking,0.5164038309502894
2022.0,web3,0.0058301952150062505
2022.0,retail,0.03152287342310343
2022.0,music,0.011022199244220932
2022.0,logistics,0.0027157039971099487
2022.0,real-estate,0.07750553909389932
2022.0,defi,0.001354564323681237
2022.0,analytics,0.009257549581425422
2022.0,media,0.0052874625668596345
2022.0,software,0.5707032023412288
2022.0,metaverse,0.001957990145499362
2022.0,hardware,0.07032190005743072
2022.0,tourism,0.008450680466797072
2022.0,sports,0.0033797570680220617
2022.0,insurance,0.011410247611473507
2022.0,sharing-economy,0.032501645767942254
2022.0,art,0.009566592898979608
2022.0,marketing,0.0679909884596324
2022.0,entertainment,0.003361005675761067
2022.0,ai,0.00289373171708827
2022.0,derivatives,0.004158893273508667
2022.0,services,0.029889801358129943
2022.0,health,0.020469549427988936
2022.0,vr-ar,0.003066665123998332
2022.0,video,0.02591536662531818
2022.0,gaming,0.0014068088486149577
2022.0,transport,0.5023196205978863
2022.0,education,0.10993349253962909
2022.0,gaming-guild,0.13876648622416848
2022.0,lending-borowing,0.004797478727423776
2022.0,energy,0.07607272777819175
2022.0,gambling,0.00886491766411815
2022.0,iot,0.010238175800855755
2022.0,food-beverage,0.6190466784299925
2022.0,hospitality,0.5661934595237348
2022.0,content-creation,0.02106150718562627
2022.0,e-commerce,0.03416546982989619
2022.0,communications-social-media,0.04689425059993922
2023.0,finance-banking,0.5164038309502894
2023.0,web3,0.0058301952150062505
2023.0,retail,0.03152287342310343
2023.0,music,0.011022199244220932
