symbol,weekly,market_cap
KEY,2018-37w,13192799.816628572
NMC,2018-37w,21330202.18
PONZI,2018-37w,7069.800191173999
RVN,2018-37w,28162264.419785712
HPB,2018-37w,27441537.302857142
DBC,2018-37w,15644672.142857144
AMLT,2018-37w,1380828.0962422858
ZENI,2018-37w,351545.0162085
QSP,2018-37w,18197275.31514286
MARS,2018-37w,123775.48696428571
DTRC,2018-37w,163904.28564785715
SOCC,2018-37w,9988.949558113332
UNIFY,2018-37w,160588.46432528572
GXC,2018-37w,64339542.85714286
SYS,2018-37w,43681594.04618572
MARO,2018-37w,10131279.567227142
EGT,2018-37w,4438452.560141428
MRX,2018-37w,9452024.808054285
CCO,2018-37w,157524.2387672857
WINGS,2018-37w,10834690.519285712
OK,2018-37w,2494229.7104257145
GAME,2018-37w,11935063.609614285
AMB,2018-37w,17569765.7686
MANNA,2018-37w,376372.30230642855
NMR,2018-37w,4593860.922834286
NBR,2018-37w,198604.82784871428
TIPS,2018-37w,2930995.0100785717
AMM,2018-37w,491757.51976
WBB,2018-37w,10191.861895226
CAPP,2018-37w,4614596.245398572
MVL,2018-37w,12987641.55598857
IOTX,2018-37w,15332668.144442856
BEET,2018-37w,441949.3837844286
HOT,2018-37w,80993971.74571429
UNO,2018-37w,17458399.269300003
SNX,2018-37w,5002217.910661429
DCN,2018-37w,87993080.13398573
CARBON,2018-37w,1301415.2438242857
POLY,2018-37w,40976467.15141428
CARD,2018-37w,5043105.740381428
XRP,2018-37w,10932777880.857143
ADZ,2018-37w,452861.26133442856
CARE,2018-37w,140882.75329933336
NLC,2018-37w,4719862.344525714
RLC,2018-37w,27848576.133700002
ZCR,2018-37w,131632.19310857143
UNIT,2018-37w,1046534.8243971429
CAS,2018-37w,6106778.7824471425
AMN,2018-37w,479200.71475742856
SSP,2018-37w,1493940.4802
GRS,2018-37w,37696622.30332857
DTX,2018-37w,486105.3727798572
IHT,2018-37w,8240995.544184285
JET,2018-37w,176147.51157885714
CEEK,2018-37w,2580886.9688399998
NKN,2018-37w,8657508.963864285
OAX,2018-37w,3485657.0147142857
MANA,2018-37w,68528724.4321
HT,2018-37w,83568762.84514286
SRN,2018-37w,16392139.030171428
MSR,2018-37w,1733392.7678071428
TKN,2018-37w,9433506.79055
CHAT,2018-37w,14001676.987066666
XWC,2018-37w,23506529.830014285
SWING,2018-37w,55035.934225357145
LYM,2018-37w,16354001.008985713
PPC,2018-37w,26248625.70155714
ELF,2018-37w,81664321.42857143
GCN,2018-37w,1070471.2032812857
POWR,2018-37w,54219683.61635714
CHESS,2018-37w,148446.84976714285
ION,2018-37w,13600326.87782857
ZEBI,2018-37w,6605719.812299999
ONION,2018-37w,5255285.091491429
FLOT,2018-37w,1136955.9773225714
DIN,2018-37w,115580.58851750001
UBT,2018-37w,2758934.958741429
